time,responses,score,phase_name,phase_id,rate
2.085,1,-1,A,1,2.5
3.594,2,0,A,1,2.5
5.23,3,1,A,1,2.5
6.161,4,2,A,1,2.5
8.415,5,3,A,1,2.5
9.328,6,4,A,1,2.5
11.606,7,5,A,1,2.5
12.796,8,6,A,1,2.5
13.969,9,7,A,1,2.5
17.461,10,8,B,2,2.5
19.049,11,9,B,2,2.5
19.982,12,10,B,2,2.5
20.624,13,9,B,2,2.5
21.908,14,8,B,2,2.5
22.888,15,9,B,2,2.5
23.628,16,10,B,2,2.5
24.275,17,11,B,2,2.5
25.496,18,12,B,2,2.5
26.042,19,13,B,2,2.5
26.703,20,14,B,2,2.5
27.394,21,13,B,2,2.5
27.925,22,12,B,2,2.5
28.505,23,11,B,2,2.5
29.518,24,12,B,2,2.5
30.849,25,13,B,2,2.5
32.681,26,12,B,2,2.5
33.499,27,13,B,2,2.5
34.141,28,12,B,2,2.5
34.605,29,11,B,2,2.5
36.37,30,10,C,3,2.5
37.334,31,9,C,3,2.5
38.99,32,10,C,3,2.5
41.77,33,9,C,3,2.5
46.469,34,10,A,4,2.5
46.965,35,11,A,4,2.5
47.448,36,12,A,4,2.5
